ID,Comments
332,"When someone yells and screams after being shot, they are in some serious pain, because 90% of gunshots, you don't even feel"
333,I love it when you cant tell if its police sirens or the women screaming bloody murder on the top of their lungs like a chimpanzee on fire.. smh.
334,2 hits... how many lawyers attched to those misses???
335,Chris Rock has a great video on how NOT to get shot by the police. Please review it.
336,"Criminal doing criminal things: Wears hood, runs from store when told to stop, is a felon with a stolen gun. He asked for it. Heâ€™s not doing medical research to help children, heâ€™s not on his way to churchâ€¦heâ€™s ASKING to be shot - and he got SHOT! Thank God for the officers. Please take my tax money. Better than sending it overseas."
337,"Imagine u are the ""MAN"" cause u are carrying then u scream like cat when u got shot."
338,Cops do get heavy. Sometimes they need to back down slow down and re-evaluate.
339,40k a year isnâ€™t worth your life or even the life of the criminal.
340,Cops are being held hostage as props for their state pretty much. Not all but some. Be careful of moles.
341,Race relations? Those are the type of comments that make things worse. And felon? So they did their time? The. All rights reserved or given back. Cali is exempt because murders only do 10 there. Max.
342,Nice diary entry lol. These idiots taking orders from the same people trying to exterminate us.
343,"And sorry, but this slow ass approach to arrest that fucker is ridiculous. You all were just in a super quick altercation, move in and cuff dudes. Wtfâ€¦ I understand the risk, but this point you have the advantage! Use it! Unless you truly want people to die I guess"
344,"I was going to say good discretion, until he said that he has a gun. Which I imagined he already knew..How about, suspect is shooting. Or something more specific than the bullshit â€œshots firedâ€."
345,"After watching so many of these videos on this channel, it always amazes me when people are still upset about these kind of police interactions. It also amazes me that noone seems to realize that almost every single one of these could be avoided if the perp simply did not actively resist against the cops. Don't run, don't fight, don't try to shoot them. Fight your battles in court and you live to see another day."
346,"He dropped the teaser, he didn't put it away."
347,"We live in a society where a dude can be warned dozens of times, pull a gun out and then its the cops fault according to fucking morons"
348,It took me a while to realize the mouthy woman was upset about the officers shooting someone. I first thought she was upset that the officer at 3:05 shot across the parking lot with people in their cars and possibly walking in the lot.
349,No! Not again. YouTube censorship.
350,The pay raise moment was amazing ðŸ’€ get this kind gentleman his 25 bucks
351,From the screaming I think getting shot hurts.
352,He was on the ground hahah and then he cried hahah
353,"They had every reason to believe that he still had his weapon if they saw him toss it that's one thing or if he walked out from between the cars with his hands empty and up that's one thing but he didn't do either of those things so you know what they say play stupid games, win stupid prizes or as my family would say whatchu learn fool?"
354,Non of the officers saw him ditch the gun they all assumed he still had the firearm on him.
355,I love when people start shouting their opinions in the middle of a situation that they know nothing about
356,What the f*** did that family member think was gonna happen? That was a basket of idiocy carried by a village dunce.
357,"Discarding their weapons doesn't undo what these violent criminals did. He earned every bullet hole he got for his poor life choices and complete disregard of the innocent lives he got involved. He's nothing but fortunate that he didn't lose his life, and ideally should be locked up for at least a decade."
358,First 2 shots seemed to be pretty reckless
359,Oh no my gun toting criminal bf got shot....losers.
360,people are so fucking stupidðŸ˜… now what if he started shooting at u and your family
361,"'Get on the fucking ground''
 
 Suspect: **already on the ground shot**
 Logic: ðŸ˜ðŸ˜"
362,Thank God I didnâ€™t scream like him when I got hit in the back when some dick head tried to rob me ðŸ˜­. He didnâ€™t get anything & almost died to so we even
363,I thought they don't shoot unarmed white guys. Must have left his white privilege in his other methhead costume.
364,Ah yes. Always a hysterical screaming woman to count on in a pinch
365,can I get a translation on 3:15? also who was it? sounded like it was right into the mic.
366,"You Tube had this hidden behind a ""are you sure you want to watch this-contains violence"" button. I reckon they don't want you to see the black criminal get shot???"
367,This cop military trained bey
368,The screaming woman needs to shut the fuck up.
369,The screams in pain make me smile.
370,"Lol he acts all hard, when his ass gets filled with lead, heâ€™s screaming like a little bitch"
371,That cop got down on em
372,His Family are Such Enablers He Runs Around With a Gun Goes back to The Car they Are Fine With His Disgusting Coward Behaviour Until a Cop Shoots Him then they start Crying Saying Defund Police Etc itâ€™s Absolutely Pathetic
373,"Ladies, (And gentlemen I suppose), if you ever bear witness to something like this and you don't know what's going on, don't be THIS lady.. lol."
374,There is no doubt in my mind that these officers did the right thing.
375,Oh my goodness. Women are so emotional. It's annoying
376,He did nothing. Has a stolen gun. But yeah nothing.
377,"Multiple felon. Stolen gun. Runs from cops. Ditches gun while hiding from cops. 
 
 Family mad he got shot. That family is totally messed up."
378,"Its nuts that someone clearly doing something wrong, is able to have backing and sympathy. Makes me think of that meme where ""hes a good boy he didnt do nuffin"" I get its a family memember, BUT he is and hyas legit DONE WRONG AND RUNNING. to hell with those people trying to make the aggressor seem like the good dude. Whenever a family tries to sue over something like this, it just screams to me they are desparate for monies. FUCK thos people too. they are in that situation because they rely on others way too hard"
379,That's my home town. Don't see a lot of crime there.
380,Did he pull his gun?
381,Hurrr de durrr he dropped his gun so heâ€™s innocent of the crime! ðŸ¤¤ðŸ¤¤
382,"""get on the fuckin ground"" an entire second after dude face plants on the pavement lol"
383,Criminal with deadly weapon: âœ…ï¸ police doing the right thing: âœ…ï¸ Stupid lady screaming who has no idea whats going on: âœ…ï¸
384,â€œYou shot me two times bro!â€ ðŸ˜‚
385,Police had MULTIPLE reasons to shoot him.
386,They had every reason to shoot.
387,Just by the way he acted when he got shot showed him a lesson.
388,Lol the family tries to defend their thug family member because he didnâ€™t have the gun in his hand any more when he was shotðŸ˜‚ the dude literally pulled it out while being chased by the policeâ€¦you pull a gun while police are chasing you youâ€™re getting shot sorry not sorry bud.
389,"ðŸ¤£ðŸ¤£I'm dying as the cop tells him to ""Get on the f**king ground!!"" after pelting him with five rounds and watching him writhe and scream on the f**king ground. Hilarious!"
390,Of course the wonderfully responsible family should be upset that the nasty police shot their upstanding boy scout career criminal. I'm sure they are proud that their boy will will steal and kill as their contribution to a dangerous society. They will be Dems for sure.
391,What was the cop who had the taser shooting at..... innocent people in cars.... Perp was LONG Gone.
392,"it's republican domestic terrorists like Matt walsh who told his followers to attack the hospital, way to do 0 actual journalism."
393,"Definitely a leftist threat or lie to try to pin on Lib OfTikTok. The left support the best riots that murdered people, Antifa riots who murdered people, all the people murdering right now they want released and to not serve jail time. They support the firebombing of Christian pregnancy crisis centers and of course the murder of millions of babies in their mothers wombs. Yeah, itâ€™s the left who love death and destruction so nice try."
394,"If you're ever threatening a children's hospital for any reason, you're the bad guy."
395,"We need to save the children! What should we do? I know, let's bomb a children's hospital!"
396,Sick psycho bastards bomb threats
397,â€œWe are all domestic terroristsâ€- CPAC
398,"Oh, you mean transphobes who regularly joke about trans kids committing suicide actually want trans kids dead? Wow, Iâ€™m so shocked!"
399,Check all the closets for a gun stash.
400,What type of monster would bomb a place with children?
401,I remember at a previous address I was living in they had to evacuate people from their houses because one guy in his house had cut the gas pipe and was threatening to blow his house up. To make the situation even worse his neighbour had a home made illegal fireworks factory next door in their house.
402,They walk in danger when saving others 
403,St Annâ€™s needs carpet bombing!
404,Lol so now u can't make fun of wanting trump dead?ðŸ¥ºðŸ™„
405,"Is there a difference between ""I want to k*ll the *********"" and "" IF the ********* gets assass*nat*d, I wouldn't care""? Threat wise. Thanks."
406,"Iâ€™ll start a go fund me page! Seriously, the day it happens, I have a bottle of bubbly waiting to be popped."
407,I can't believe he's arresting people you know there's a billion people that would kill him they all want to kill him
408,"Tf? Most ppl threaten trump, wtf you chasing the man like he got 5 stars on him lmao ðŸ˜‚ðŸ¤¦ðŸ¾â€â™‚ï¸"
409,Why they donâ€™t arrest all the Hollywood people that want to kill Trump as well?
410,"I know this was over a year ago but this goes to show U how Psychotic & Dysfunctional our Country is today & by the way this is not freedom of speech when U say these words of Threatening to Kill a person especially on F*** Twitter or any other online social media, man or woman running for The Presidency ðŸ˜’ ðŸ˜ !!!!!!!!"
411,I thought tump would be dead by now tbh
412,everyone say u will kill donald trump it's not like we're going to priso
413,Idiot man trying to kill an idiot president
414,And this is exactly why you don't joke about killing someone
415,but if someone threats me its legal and ok cause im a civillian!?
416,Arrested for tweeting to assisinate the successor of the presidency but can't find any thing to charge a cop who kills an unarmed black man
417,Not a honorable American to threaten the life of a president.
,
,
,
,
,
,
,
,"I totally agree with most what she said, but student around the world are marching for a ceasefire and 2 state solution and certainly not on the side of Hamas. Just to make it clear"
,Only Love Blessings to her!!!!
,Another liar and a complicit media!
,"I donâ€˜t know how to feel about her. She seems like an interesting individual, she is very smart. But itâ€˜s obvious that she went trough a cultural assimilation process. She downplays the deep-rooted racism and the chauvinist-nationalism issue in Israel. Bari Weiss is not really known for neutral journalism. Has she ever interviewed a pro-Palestinian female journalist from Gaza? No. 
 She actually protested against pro-Palestinian academics and intellectuals, she participated in Cancel Culture, Cancel Culture targeting Palestinians and their allies."
,"Great interview. I live in Canada. You can see build up that it's going to happen here. A mob of people when pass a hospital around this time. Got up the front door roof and yelling his crap. They care about about the people in the hospital. It's is offense in Canada. I live in Canada all my live, for over 60 years. Today I don't feel safe. I am very out spoken. We all have right living free."
,"Beautiful person, this one of a kind lucey! We love you!"
,"Hhfftt... what a joke.. no need to see this video, waste of time.. remember what israhell do from 1948 until now.. just skip this telenovela.."
,"Maybe people should know what kind of town Dimona is. It is not only ""more right-wing"", it is the center of zionist hybris which contains a top secret zone around Israel's illegal-under-international-law nuclear weapons factory which resembles a permanent threat and provocation to the surrounding countries of the arab world and which secures the illegal-under-international-law occupation of palestine. Most people who live in Dimona are connected to the nuclear research center in one way or the other. And as of that, you simply CAN'T be antizionist when you live in Dimona. And you can be sure that authorities will do everything to ensure everyone involved will stay in line. Lucy Aharish is an isolated case in Israel. As isolated from palestinian arab life as she grew up in zionist Dimona. And this is how her story could become true."
,This woman has a great heart but she has a great disconnect from the reality that faces the middle east.
,Hope she will open her eyes and see muslims hate JEWS and they want to destroy Israel you would be considered a treator by Muslims or they will would kill you in some Muslim countries especially for marrying a JEW they would never except that or ALLAH and your not wearing a hijab that is haram and according to the Quran you shouldn't even be friend's with a Jew or Christian . Her story is good but wouldn't work in majority of countries HAMAS HEZBOLLAH most Muslim countries hate JEWS and Isreal and you follow a religion that praying to ALLAH who also will not except your marriage to a JEW
,Its so sad to have read hateful words from the Quran and the origins of Islam. Im amazed how welcoming Israelis are to Muslims.
,I am so pleased to have come across this news segment. It was so well done and extremely informative. The more I listened to it the more intrigue and the more I cried. Because of my dip love and connection with the Land of Israel and its Jewish people
,"Sheâ€™s not a Muslim, lol. We donâ€™t claim her."
,"""Adam."" Says it all. Education is the tool to set humans free. Todah rabba Shokran"
,What she said about groups using democracy against democracy is happening here in the U.S..
,"As a Jewish Israeli women i am boiling of anger and frustrstion about the racisim and other thing is the society and governments here , but also by the apologetics of ech side, and she is exposing that in the way she lays out the truth about everyone.the debate about this topic so dogmatic and you hardly hear a complex thought and you hardly hear women and arab women. I hope she will go further too with speaking out. Shes also a cool person regardless and way more feminist and strong than other Jewish journalists and ancors â¤"
,"Lucy, well done to you for the explanation, you are charming, everything is true and accurate, thank you for the explanation to the world"
,"i have lost all respect for the people of Israel. As a Jewish American this year has been painful, but I fully condemn Zionism in all it's forms. Free Palestine! ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸"
,So impressive. She is wonderful.
,So who was a Muslim her dad or her mom . I missed that?
,I wonder why the Middle East is a â€œjungleâ€!!! Maybe because the jungle was being forced to grow there and cause by a certain state
,"When the ministry of education of Israel tell you, you donâ€™t have a place here , does that mean itâ€™s not apartheid?! ðŸ§ðŸ§ðŸ§"
,I wonder why October 7 happened !!! Just because Hamas is terrorist ?! Or because when you blow a balloon until it canâ€™t take it anymore it has to explode one way or another !!?? I wonder ??!!! Not because I agree on what happened on October 7 but because she forgets where sheâ€™s coming from !! Even with all the bridging the relationship between Palestinians and Israelis !!!
,"""he is a human being and a white paper ready to be write in"" , what an amazing woman...her parents must be very wise persons and her soul shines bright."
,"great acting but why does everything either start on Oct. 7.
 if Oct. 7 killed the compassion of Israelis, 70+ years of looting, raping, murdering Palestianians killed the compassion of Palestianians towards Israelis."
,"Listened to the whole interview, and I'm so glad you are speaking my voice!
 Thank you!
 As a Jewish Israeli citizen, worried about the existence of my country â¤"
,She got so brainwashed by going to Israelian schools insane â€¦. No surprise they put her on TV channel etcâ€¦ and her family got jobs at high levels ðŸ˜… itâ€™s called collaboration/ traitors in other countries â€¦. She doesnâ€™t care about human rights clearly sheâ€™s too comfortable in her fancy life with glitter ! Real Jews are fighting everyday everywhere in the world for Palestinian human rights and Palestinian are Jewish Muslim Christian!!!!
,Offcourse she never lived in occupied territories with no right and appartheid checkpoints no food no jobs â€¦. Life is easier when you have a citizenship you can travel the world and do whatever you want â€¦ also she cannot be identified as Muslim she doesnâ€™t where a veil â€¦ she doesnâ€™t speak Arabic she speaks Hebrew etcâ€¦ so yes she looks like a Jewish israelian thatâ€™s why her life was amazing no surprise!
,What an insightful & moving interview!
,Free PalestineðŸ‡µðŸ‡¸
,"I never watch an interview more than 15 minutes, but she is so facinating that I watched her interview twice."
,The world needs to see this interview. Itâ€™s a must.
,"Amnesty Internationalâ€™s new investigation shows that Israel imposes a system of oppression and domination against Palestinians across all areas under its control: in Israel and the OPT, and against Palestinian refugees, in order to benefit Jewish Israelis. This amounts to apartheid as prohibited in international law."
,The river to the sea is anti semitic yet the PM of Israel has used it multiple times?
,Thatâ€™s the whole point she was raised in Israel. The asymmetry in treatment of a Palestinian the same age as her is astounding and this is heavily documented.
,Thank you
,"A lot of debates at present hit at no resolution. Lucy is a shimmer of hope, her outlook is the beginning of a new start. A reset to all political practices are needed across the world. May the good people of the world unite for peace and compassion ðŸ™âœŒï¸ðŸ¦˜"
,"She's still a problem to the existence of Israel because she's hiding behind the same ""democracy""... She's not old enough to know the history of their persecution. The same way that Hamas is exploiting Israel's kindness for weakness. Thank God she's a flash in the pan. Am Israel Chai ðŸ™ðŸ•Šï¸ðŸ¥€ðŸ‡®ðŸ‡±"
,"She has to make sense of a strange reality she found herself in after the occupation of her country, Palestine. She and her parents are lucky in a sense that they weren't driven out of their homes to become refugees."
,"As someone from Dimona I get it(I think it got better from 90s),alot of people here are warm and loving but also Nationalistic and religious(I would say more tradtional as they look secular but they believe in God and that Rabbis are geniuses who get much information from God's knowlegde), many are group thinkers between the ones who listen to politicians,thier older family or to Rabbis you will find very strong anti towards people who is ""against Israel""(left wing people mainly),we have many more Arab Bedouins here in school(I had good friend in my class Sharif who my brother and his brother also were in same class so our families were always connected in school stuff),now the situation is on boiling point many of our children and loved dying/injured in this war(including just in this Thursday in terror attack in Biet Kama)and the hate is sadly very high,still we know, love and appriciete Lucy(we are proud and we love you)and all Bedouins of our town and in surroundings who live in peace,the ones that want war need to be dealt with but good people we don't hate."
,Adam is muslim and jewish. But also Palestinian and Israeli.
,She definitly has privilege to an extent. Like growing up on the upper east side or attending an affluent school.
,Is Palestine also like your parents? Do you love it as well?
,"ok, meanwhile hundreds of thousands are being killed and starved by a genocidal colonizing racist entity."
,"Lucy. You have so much tolerance, resilience, empathy, and tenacity. You are an example of how we should be moving towards peace! Thank you for everything you do and for standing up for what is right. Ramadan Karimâ¤ï¸"
,This is more complicated and there are two sides to the story ok?
,It's a war of good verses evil
,That's history Holocaust. Now it's the Jews who are being the conquerors with their foot on the necks of innocent Palestinians.
,"Lucy, you are wonderful. Love and admire you and your husband â¤"
,"nobody minds the jewish state, we mind the apartheid that you denied, the genocide that is going on. 
 you have peace agreements by force. 
 israel never wanted any arab to be respected and love except some people only. you cannot see this only from your pov when you are speaking on a podcast. you should say THIS IS HOW I AMMMMMMM WHAT I KNOWWWW BUT I KNOW ENOUGH TO CONDEMN MY OWN GOVERNMENT."
,"YOUR SENSE OF HUMANITY DIIIIIEEEED WHEN MILLIONS OF KIDSSSSSS DIIIIIIEEED IN COLLECTIVE PUNICHMENT
 THESE PEOPLE DESERVE YOUR COMPASSION BECAUSE YOU ARE THEM 
 YES YOU NEED ARE YOU CRAZY???????// IF YOU ARE NOT INTERESTED IN SEEING THE PALESTINIAN SIDE IT IS BECAUSE YOU ARE IGNORANT SOO DONT COME AND SPILL PROPAGANDA 
 THEY DID NOT BURN YOU ALIVE THEY ARE BURNT ALIVE 
 THEY MADE YOU TASTE WHAT THEY HAVE BEEN TASTIMG FOR YEARS SO YOU CAN FEEL THEM AND HEAR THEM. 
 ISRAEL IS WORST THAN HAMAS. 
 the next generation will hate you so much for how you are speaking about palestinian as someone who could change the mindset of the apartheid and genocide. 
 you do have other neighbors. that are never welcomed in your country."
,DEMOCRATIC COUNTRY AND TERRORIST GROUP OMGGGGGGGGGGGGGGGGGGGGGGGGGG PLEASE STOP TALKING
,"babe, your government doesnt want yuo to question shit. obv they are silencing people since forever."
,"the state of israel is not a villa in a jungle, it is what is making the whole region a fucking jungle. and Israel is the monster of the jungle. corrupting everything around it. free Palestine from the apartheid colonial government."
,"GUUUURL THE SAME STATEMNENT WAS MADE ABOUT THE JEWISH COMMUNITY!!!!! AFTER THE HOLOCAUST NO ONE WANTED THE JEWS IN THEIR COUNTRIES IN THE WEST AND THIS IS WHY THEY CAME TO PALESTINE 
 YOU SAYING ohh they dont want anything to do with them is not correct!!!
 ARE YOU CRAZY??????????????????????????"
,do you know that israelis are the first to practice jihad on the British community that wanted to reduce theimmigrations of the jewish community for the safety of arabs and Israelis???? did you know?? before asking about the fundamentalist !!!
,WHAT CANT HAPPEN IN 2020 IS ISRAEL how can you be so blind!!!!!!!!!!!!
,"this evil you saw on october 7th is not something new because the ill racist treatment towards Palestinians is not something new. 
 These are terrorists act definitely, but did you ever ask yourself why is this Palestinian that is just LIKE ME is killing? did you ask why they didn't like your yellow plates??? are those people born evil?? or is it that the government protected you !!! but failed THEM?! 
 i know it is impossible for you to really speak up, but if you really think that, you need to have a new pov. that isn't where you grew up but more of where people just like you gew up. 
 you obviously have a platform. 
 
 how is it not an apartheid if you are worried about your son's education to attack his identity as a Palestinian ! 
 
 yeah thousands were murdered because of their ethnicity, armenians assyrian etc.. i don't see the world taking someone's country and kicking out indigenous in the name of sympathy. 
 
 this country hasn't existed for such a long time and YET they have murdered more than what WORLD WARS HAVE MURDERED. 
 did you ever ask yourself as a Palestinian what i could've had if Israel was not an apartheid who is killing non Israeli arabs and attacking their ethnicity since its establishment? if we coexisted and Israel actually did better job and looked at the indigenous people equally? 
 OHH WAAAW AT LEAST THEY ARE NOT ATTACKING KIDS THESE ARE SOLDIERS???????????
 so it is horoic when Israeli soldiers are defending themselves but absolutely disgusting if a Palestinian defended himself. to save his family and save his identity and everything he believes in, 
 you are correct, you don't understand what happened in October 7th. 
 the picture got clearer, that you government didn't want to do better. unless they taste what Palestinians have been bitter on for years. 
 please no ecusations of rape were correct. recorrect yourself. the haven of the jewish people is only a haven to the jewish people, it is absolute terror for others. i myself saw an Israeli strike, my grandparents were in danger because of israeli government and i live in syria. 
 
 see your privilege? that you never ever had to think for a second where would you hide your child?? tell that to the IOF who literally will search your washing machine to take your child to jail without a trial. 
 i was only 12 when i was thinking where will i raise my kids! how would i avoid a war on them!!!!! 
 dont call it a war. 
 A VILLA IN A JUNGLE???????????????????????????????????????????????????????????????????????????????????????????????????????????????????
 BRUUUUUUH WHAT DO YOU KNOW ABOUT THE SYRIAN CRISIS OTHER THAN WHAT ISRAELIS TOLD YOU!!! ARE YOU GONNA SAY THAT ISRAEL IS OCCUPYING GOLAN HEIGHTS??? OMG"
,"Who would listen to this women?
 
 A lot of lies"
,What an exceptional Israeli woman. Thank you for sharing your story. â¤ï¸
,Two superheros â¤â¤â¤
,"THIS WOAM IS SHE TALKING RIGHT. DOE SHE KNOW EHAT THE ZIONISTS ISRAELIS HAV BEEN DOING FOR 75 YEARS. WHEN WAS SHE BORN. WHAT DOES SHE KNOW. JUST THINK, TALK ABOUT THE ROOT PROBLEM. WHO CAUSE THIS WAR, IT IS UK SND USA AND ZIONISTS TERRORIST. YOU UNDERSTAND.â¤ LOVE YOU STILL. SUS.ðŸ˜Š"
,"Zaâ€™ev Jabotinsky, one of the forefathers of Zionism said, QUOTE:
 
 
 
 â€œWe Jews have nothing in common with what is called the Orient, thank God. To the extent that our uneducated masses [Arab Jews] have ancient spiritual traditions and laws that call the Orient, they must be weaned away from them, and this is in fact what we are doing in every decent school, what life itself is doing with great success. We are going in Palestine, first for our national convenience, [second] to sweep out thoroughly all traces of the Oriental soul.â€"
,As if shouting in Hebrew spared those 3 innocent guys waving the white flag. What is the interview about?
,You lost me at ' zionist'. I am.sorry she had to ajust to that regime.
,I work for a non-profit organization that combats antisemitism called Enough Is Enough! Do you know how I can reach out to Lucy? Would love to have her speak with us!
,"I was in Bosnia during the terrible war between Croats Serbs and Bosnian Muslim. I met people from all sides and they were and delightful people doing good work. Each person I met had horror stories, were being treated so badly by the others."
,"May she vote, and move around freely, or does she have less rights like the palestinian people in west-bank, Gaza ++?"
,"Lucy is an amazing human at a crossroads. 
 Bari, kindly explain the decimation of Christians in Nigeria? Yes, there are problems but you are wrong to sensationalise."
,Itâ€™s too bad she has vocal fryâ€¦ Frog voice
,"Yes it is a idea. An idea that most Muslims do not have, A idea many radical Muslims have and groups like Hamas and the PA have and in countries like Iran. who have a military.. The idea without that military is something we can live with. This why we must defeat Hamas as a political or military power. Not the people who only supported it."
,The journalist is little bit â€œbiasedâ€ and the description of Nigeria is wrong
,Israeli Must win and will win because The God of Israel never lose wars
,"Curious name for a muslim woman.
 But the truth is always hard to tell:
 
 This one is a religious war.
 
 Until Muslims will start to admit that religion is part of the problem, until Islam will be reformed, and it will take years, or more, until the western world will stop to defend Islam and Muslims as a privileged people, we'll never reach the point."
,"You are so right you are certainly a woman with courage. I applaud your nature as a Christian Iâ€™m quite confused at times the way people are reacting in the United States college kids. Itâ€™s crazy what they are doing they have know clue as to war what happened on oct 7 . give me a big understanding a gift to learn more dig deeper into what I believe. How do you forgiveness such brutal barbarian, acts on both sides . I see a day could be any day for Hamas will come to the United States because theyâ€™re probably already here somewhere cause America the problem. What would we do as Americans? Of course we all know the answer may God bless you in a mighty way. Michigan"
,The fear and the horror you feel is only 1 % of the horror and the fear which palestinian kids and mothers and civilians feel. There is an american living in Gaza strip and always feel worried about her sons and daughters since the day they were born until now. Worried about their safety just because they were born as palestinians. And you start feeling worried about ur kid only since oct 7th until several days after that
,"With as much hate I see coming out of Israel and the way they mock Palestinian people and laugh at the loss of images of dead babies while their parents lament, kids from a religious organization standing in front of food trucks so they canâ€™t enter- and saying they want them to die and Israeli government policy of â€œmowing the lawn â€œ,Israel is a tough nut to crack to ever get right by the Palestinian people. Their past actions are a reminder and predictive of the future. Past actions are a fairly solid indicator of how one would expect to act in the future. These are not rational, compassionate humans. One must not forget that. They are dealing with something else. I donâ€™t know what it is but certainly not normal as a human. And there are probably millions of these incidents documented just in this short period of time. Just imo it doesnâ€™t seem a normal thing to say people are animals and they all deserve to suffer and die. So how can these people be normal and approachable by those seeking peace I have no answers ?"
,"Beautiful story. Politicians need to think about humanity and how it is a part of their greedy financial plans for the future. Sadly, none of them do because it doesnâ€™t affect them so much."
,What an idiot
,Palestinians lives matter ðŸ«¶ðŸ»ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ #StopGazaHolocaust #GazaMassacres
,"From the river to the sea Palestine will be free ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ STOP GAZA GENOCIDE, APARTHEID, BLOCKADE, SIEGE, ILLEGAL OCCUPATION, JERUSALEM IS PALESTINE ðŸ«¶ðŸ»ðŸ‡µðŸ‡¸"
,From the river to the sea Palestine will be free ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ STOP GAZA GENOCIDE!!!!!
,"From the river to the sea Palestine will be free ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ STOP GAZA GENOCIDE, APARTHEID, BLOCKADE, SIEGE, ILLEGAL OCCUPATION, JERUSALEM IS PALESTINE ðŸ«¶ðŸ»ðŸ‡µðŸ‡¸"
,"What do you think about Palestinians 75 years sufferingðŸ¤”crimes against humanity, blockade, siege? Can you lives in this situation #StopIsraelApartheid"
,"What do you think about Palestinians 75 years sufferingðŸ¤”crimes against humanity, blockade, siege? Can you lives in this situation #FreePalestine ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸"
,"Future in the middle east is from Gaza Palestine, FIX THAT! Palestinians ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ’ªðŸ»â™¥ï¸ #FreePalestine #PalestineWillBeFreeSoon"
,As a British-Israeli Jew - this lady is my hero!
,Lucy you made me cry im.american my aunt married an.israeli jew and moved there to Israel. I been there growing up in negev beersheva and Omer. My first cousins are Israeli my grandparents would take. Me.with them summers. You are an amazing beautiful person I am so moved I'm in tears maybe a gift of the holy spirit. I pray God will always bless you and your family. This world needs more people like you. Happy Ramadan pesach tov happy resssurectiom day !!!!
,it looks like a night in a day and day in a night everying is mixed up! not a well planned and acted propaghanda. it is all fake
,Why do I have a feeling that this is a really polite attempt to dehumanize Palestinians by a â€œPalastinianâ€?
,Good man. Every Westerner should call out Muslims like this.
,Based guy
,You guys might have understood now .. who is terrorists
,good man. God bless him
,About time the Nazi â€œpalsâ€ are exposed for who they are
,"This aged well, in 2023 we have muslims deny terrorism and blaming Israel and Western governments being terrorist, after committing to terrorist war first."
,The Middle East is the center of ignorance and it is best for Muslims to go to the desert with these Semitic religions.
,Now you call him a meathead it just shows your ignorance
,People who are against that dude probably forgot the 9/11 incident and other terrorists attacks
,Who cares what you do you fake news this is all American Patriot stand up for his country
,Every white guy is better than u
,I'd have a beer with this dude
,Send the terrorist back to thier hijab country
,Based guy
,"Good job man ðŸ‘ðŸ»
 
 Now don't forget that jesus, moses and abraham are all born in middle east too. So as an abrahamic religion believer you're all terrorists. The only difference is you're either an arab or a pathetic slave to them.
 
 You abandoned your true gods and cultures and accepted this one out of 3 lunatic arabic cult, it makes me laugh majority of you don't even know who your prophet is and where he was born."
,"To be fair, Islam is anti-enlightment"
,"W man
 islam means terrorism loved it"
,"Islam means terrorist..
 
 Its clear from quran.."
,I HATE TERROITS
,i loved the man who destroyed it
,Loved it
,this clown rots my brain. Makes isoaltionism so sweet as an american saying you can have it as we dont want it!
,pls read Quran written by a pedophilic prophet ...
,"Then the racist man went to jail for racial discrimination and threatening violence for the rest of his deranged, miserable, and pathetic life."
,Did yâ€™all ask any of the 50 people that were clapping for the man?
,"Turks=70%greek and the rest armenia kurdis arab DNA.STIL NOMADES.
 turk Alphabet 99 years old.
 8.000.000.000 people do not give a f about you"
,everybody in the comments is so racist and sending so much hate to Muslims
,I donâ€™t give to fucks that guy is right Muslims took Pakistan Which was indias
,Muslims cant embrace other cultures and enthrust themselves on other societies....
,well he is right
,Hahaha. I miss the cursing so much hahaha
,"Oh, look at the BIG MAN!!!! And those pathetic people clapping."
,Me watching that bald guy said to me be like: ðŸ‘ðŸ’§ðŸ‘„ðŸ’§ðŸ‘
,America is owned by Red Indians.
,I agree with him
,That guy is stupid
,Come on people stop fighting about peoples religons we all have rights and Every one is born with rights so get along with each other
,Is this triple h?
,Why is this man terrorising everyone?. Let's call the police
,Iâ€™m an Muslim and the last time I checked I donâ€™t go around stabbing random people in the name of â€œAllahâ€ and Iâ€™d prefer stabbing the isis instead.Isis have killed more Muslims than disbelievers
,Hmm.. is that islamophobic?
,U know why cuz our tax dollars that paid for it
,When Imam Mahedy will come then we will see
,Did american forget they are not real american?? Christopher Columbus discover america what an ass.
